Unnamed: 0,m49_code,food_supply_stage_Harvest
10886,454,True
24778,894,False
6866,324,False
2958,231,False
8611,384,True
10466,430,True
94,108,False
4508,24,False
21862,834,False
8044,356,False
14600,562,True
13801,508,False
22203,834,False
11525,454,False
11919,466,False
11160,454,False
689,120,False
24340,854,False
21022,800,False
13127,50,False
10547,430,False
11355,454,False
12607,478,False
13026,50,False
15320,566,False
11480,454,False
3828,231,False
13067,50,False
10772,450,False
24306,854,False
10908,454,True
17942,706,True
3664,231,False
3910,231,False
5685,270,False
4267,232,False
3479,231,False
1865,180,False
9077,404,False
25308,894,False
7090,356,True
1322,148,False
2025,180,False
23856,840,False
4891,24,False
10842,454,False
20684,768,False
9166,404,False
11260,454,False
8716,384,False
7810,356,False
14689,562,False
1424,148,False
15854,624,False
3352,231,False
13103,50,False
13837,508,False
16280,646,False
19257,72,False
11224,454,False
13823,508,True
4201,232,False
24012,854,False
14766,562,True
21214,800,False
2323,204,False
15522,604,False
1034,148,False
361,108,False
13259,50,False
13569,508,False
22382,834,False
1472,148,True
14134,516,False
6418,288,False
22228,834,False
1446,148,False
20229,768,False
24361,854,False
17679,694,False
1784,180,False
8957,384,False
3013,231,False
16585,646,False
12632,478,False
9971,404,False
22121,834,True
14990,566,True
6805,324,True
10953,454,False
16454,646,True
16744,68,False
9469,404,False
25179,894,False
670,120,False
20997,800,False
13892,508,False
8840,384,True
20453,768,False
15577,608,False
7416,356,False
95,108,False
15996,624,False
19938,729,False
14481,562,False
12277,478,False
2410,204,False
12723,50,False
15197,566,False
8641,384,False
7298,356,False
3002,231,True
1806,180,False
3227,231,False
20374,768,False
25307,894,True
1127,148,True
1530,156,False
5946,288,False
13441,508,False
13933,51,False
896,120,False
21123,800,True
5517,270,False
5324,270,True
10887,454,False
346,108,True
5881,288,False
19236,72,False
10552,430,False
2705,204,True
11441,454,False
1207,148,False
15788,624,False
11590,466,False
2377,204,False
14654,562,False
5034,24,False
17,108,True
17489,686,False
20526,768,True
2462,204,False
21476,800,True
749,120,False
24370,854,False
21233,800,False
19708,729,True
21150,800,False
20898,800,False
55,108,False
1861,180,False
11346,454,True
1619,156,False
24407,854,True
21571,800,False
24881,894,True
879,120,False
9346,404,True
4694,24,False
2591,204,False
18942,716,False
19707,729,False
24845,894,False
19141,72,False
16423,646,False
4618,24,False
7450,356,True
10873,454,False
9775,404,True
5049,24,False
16236,646,False
17619,694,False
21478,800,False
21940,834,False
13676,508,True
3513,231,False
9799,404,False
24662,894,False
15216,566,False
11313,454,False
13557,508,False
17697,694,True
6487,288,False
3036,231,True
4958,24,False
13785,508,False
15682,624,True
10036,404,False
17569,694,False
18920,716,False
21596,800,False
22366,834,False
8706,384,False
10844,454,False
17229,686,False
9015,384,True
22357,834,False
21041,800,False
22035,834,False
24225,854,False
4545,24,True
1434,148,False
15885,624,False
24795,894,False
19500,72,False
14975,566,False
21595,800,False
8786,384,False
24293,854,False
7965,356,False
14662,562,True
7300,356,False
15239,566,False
21925,834,False
10505,430,False
17488,686,False
17581,694,False
2106,180,False
12511,478,False
8013,356,False
15341,566,False
2683,204,True
16169,646,False
15599,608,False
2034,180,False
21224,800,False
10831,454,True
11106,454,True
21623,800,False
9516,404,False
1740,180,False
19119,716,False
18213,706,False
22054,834,True
4817,24,False
2820,204,False
9805,404,False
21887,834,False
21474,800,False
2675,204,False
24905,894,True
4490,24,False
21372,800,False
13484,508,True
1882,180,False
19828,729,False
11409,454,False
19352,72,False
19068,716,False
9800,404,False
19177,72,False
2996,231,True
12893,50,False
15228,566,False
13164,50,False
21922,834,True
1253,148,True
10991,454,False
13296,504,False
1994,180,False
21863,834,False
13878,508,False
16270,646,False
17593,694,False
9725,404,True
5080,24,False
13061,50,False
3034,231,False
24269,854,False
11626,466,False
24338,854,False
12032,466,False
13297,504,False
14182,516,False
10815,454,False
14299,516,False
13218,50,False
14920,566,False
12855,50,False
14978,566,True
7290,356,True
19909,729,True
5483,270,False
18650,716,False
2583,204,False
1299,148,False
12086,466,False
6419,288,False
17609,694,False
24526,854,False
26,108,False
3565,231,False
3812,231,False
3298,231,False
4719,24,False
213,108,False
25385,894,False
5434,270,False
14791,562,False
19138,72,False
1941,180,False
18839,716,False
17059,686,False
863,120,False
24494,854,False
4080,232,False
9845,404,False
272,108,False
14250,516,True
3885,231,False
1216,148,True
21216,800,False
11891,466,False
17959,706,False
12153,466,False
7386,356,False
